domain,total_appearances,unique_days,first_seen,last_seen,avg_sentiment
legittb53r36vgdmunxf3bivvfqihsa4wmr3qhxk6turmhaieuoz67ad.onion,4,2,2025-10-25,2025-10-27,0.0957
ii2ueu3uynudhxly5q7eewz4g4bqzlym3a3eq7zhjds7oa6kplswtvad.onion,6,2,2025-10-18,2025-10-21,0.003966666666666667
procczldgsdvhvskqvdbrzflhgtkqzgzxjjurir4du6r2f3ioa5gq3qd.onion,2,2,2025-10-22,2025-10-24,0.165
yalebmiyolau5ah3aanzwzn2bzgedcthmijluunqvotmllrrzqaiwxid.onion,1,1,2025-10-25,2025-10-25,0.2352
darknet3z3w3rhbfumc2ol54k3sgsbx4o4mihgu3mfzgjqvtg5snlgid.onion,1,1,2025-10-21,2025-10-21,0.0692
darknet3zfgfd6tflpaqtdhzmvtxz5zq64pdnpfg4fphwiharnc2efid.onion,1,1,2025-10-21,2025-10-21,0.0692
darknet3yj35unfz7mvhsg7fp2xvk7grd6a53uuqzndrikrrmdo5diyd.onion,1,1,2025-10-21,2025-10-21,0.0692
wgn5u72eom4zllb6puwaqqjfucmhraecbkzzxsxzkc72blhrcewjrcad.onion,1,1,2025-10-24,2025-10-24,0.3069
darknet3veifbbeidwxrnjx4tulij627ybjjk2ae7c77w6ah4cuerjyd.onion,1,1,2025-10-21,2025-10-21,0.0692
blinkxxvrydjgxao4lf6wqgxqbddw4xkawbe2zacs7sqlfxnb5ei2xid.onion,10,1,2025-10-18,2025-10-18,0.27636
blinkxxvbfuk2ol7a4lybf3zk2gism6cqsm7d5khxctlgwz6g4e2azid.onion,5,1,2025-10-18,2025-10-18,0.29372
